Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Avocado,Bag,90,2322.00,3/1/2013 
Horticulture,Kales,Bag,50,1039.00,3/1/2013 
Horticulture,Cabbages,Ext Bag,126,1638.00,4/1/2013 
Horticulture,Cooking Bananas,Med Bunch,22,545.00,4/1/2013 
Horticulture,Ripe Bananas,Med Bunch,14,620.00,4/1/2013 
Horticulture,Carrots,Ext Bag,138,3223.00,4/1/2013 
Horticulture,Tomatoes,Lg Box,64,5182.00,4/1/2013 
Horticulture,Onions Dry,net,13,850.00,4/1/2013 
Horticulture,Spring Onions,Bag,142,2194.00,4/1/2013 
Horticulture,Chillies,Bag,38,3064.00,4/1/2013 
Horticulture,Cucumber,Bag,50,2405.00,4/1/2013 
Horticulture,Capsicums,Bag,50,2930.00,4/1/2013 
Horticulture,Brinjals,Bag,44,1664.00,4/1/2013 
Horticulture,Cauliflower,crate,39,3781.00,4/1/2013 
Horticulture,Lettuce,Bag,51,3202.00,4/1/2013 
Horticulture,Passion Fruits,Bag,57,3725.00,4/1/2013 
Horticulture,Oranges,Bag,93,2948.00,4/1/2013 
Horticulture,Lemons,Bag,95,1960.00,4/1/2013 
Horticulture,Mangoes Local,Bag,126,2444.00,4/1/2013 
Horticulture,Mangoes Ngowe,Sm Basket,25,770.00,4/1/2013 
Horticulture,Limes,net,13,635.00,4/1/2013 
Horticulture,Pineapples,Dozen,13,780.00,4/1/2013 
Horticulture,Pawpaw,Lg Box,54,1473.00,4/1/2013 
Horticulture,Avocado,Bag,90,2287.00,4/1/2013 
Horticulture,Kales,Bag,50,848.00,4/1/2013 
Horticulture,Lettuce,Bag,51,4090.00,5/1/2013 
Horticulture,Kales,Bag,50,1277.00,5/1/2013 
Horticulture,Avocado,Bag,90,2705.00,5/1/2013 
Horticulture,Pawpaw,Lg Box,54,1777.00,5/1/2013 
Horticulture,Pineapples,Dozen,13,754.00,5/1/2013 
Horticulture,Limes,net,13,683.00,5/1/2013 
Horticulture,Mangoes Ngowe,Sm Basket,25,1079.00,5/1/2013 
Horticulture,Mangoes Local,Bag,126,2420.00,5/1/2013 
Horticulture,Lemons,Bag,95,2112.00,5/1/2013 
Horticulture,Oranges,Bag,93,2893.00,5/1/2013 
Horticulture,Passion Fruits,Bag,57,3923.00,5/1/2013 
Horticulture,Cauliflower,crate,39,3553.00,5/1/2013 
Horticulture,Brinjals,Bag,44,1700.00,5/1/2013 
Horticulture,Capsicums,Bag,50,2663.00,5/1/2013 
Horticulture,Cucumber,Bag,50,2268.00,5/1/2013 
Horticulture,Chillies,Bag,38,3105.00,5/1/2013 
Horticulture,Spring Onions,Bag,142,2571.00,5/1/2013 
Horticulture,Onions Dry,net,13,967.00,5/1/2013 
Horticulture,Tomatoes,Lg Box,64,5596.00,5/1/2013 
Horticulture,Carrots,Ext Bag,138,3318.00,5/1/2013 
Horticulture,Ripe Bananas,Med Bunch,14,625.00,5/1/2013 
Horticulture,Cooking Bananas,Med Bunch,22,618.00,5/1/2013 
Horticulture,Cabbages,Ext Bag,126,2058.00,5/1/2013 
Horticulture,Cooking Bananas,Med Bunch,22,541.00,6/1/2013 
Horticulture,Ripe Bananas,Med Bunch,14,583.00,6/1/2013 
Horticulture,Carrots,Ext Bag,138,3647.00,6/1/2013 
Horticulture,Tomatoes,Lg Box,64,4037.00,6/1/2013 
Horticulture,Onions Dry,net,13,1147.00,6/1/2013 
Horticulture,Spring Onions,Bag,142,2480.00,6/1/2013 
Horticulture,Chillies,Bag,38,2973.00,6/1/2013 
Horticulture,Cucumber,Bag,50,1946.00,6/1/2013 
Horticulture,Capsicums,Bag,50,3031.00,6/1/2013 
Horticulture,Brinjals,Bag,44,1720.00,6/1/2013 
Horticulture,Cauliflower,crate,39,3490.00,6/1/2013 
Horticulture,Cabbages,Ext Bag,126,2465.00,6/1/2013 
Horticulture,Lettuce,Bag,51,3748.00,6/1/2013 
Horticulture,Passion Fruits,Bag,57,4041.00,6/1/2013 
Horticulture,Oranges,Bag,93,2674.00,6/1/2013 
Horticulture,Lemons,Bag,95,2085.00,6/1/2013 
Horticulture,Mangoes Local,Bag,126,2078.00,6/1/2013 
Horticulture,Mangoes Ngowe,Sm Basket,25,915.00,6/1/2013 
Horticulture,Limes,net,13,443.00,6/1/2013 
Horticulture,Pineapples,Dozen,13,700.00,6/1/2013 
Horticulture,Pawpaw,Lg Box,54,1511.00,6/1/2013 
Horticulture,Avocado,Bag,90,2097.00,6/1/2013 
Horticulture,Kales,Bag,50,1626.00,6/1/2013 
Horticulture,Cabbages,Ext Bag,126,2326.00,7/1/2013 
Horticulture,Cooking Bananas,Med Bunch,22,518.00,7/1/2013 
Horticulture,Ripe Bananas,Med Bunch,14,578.00,7/1/2013 
Horticulture,Carrots,Ext Bag,138,3553.00,7/1/2013 
Horticulture,Tomatoes,Lg Box,64,2786.00,7/1/2013 
Horticulture,Onions Dry,net,13,957.00,7/1/2013 
Horticulture,Spring Onions,Bag,142,2318.00,7/1/2013 
Horticulture,Chillies,Bag,38,3251.00,7/1/2013 
Horticulture,Cucumber,Bag,50,2505.00,7/1/2013 
Horticulture,Capsicums,Bag,50,2767.00,7/1/2013 
Horticulture,Brinjals,Bag,44,1851.00,7/1/2013 
Horticulture,Cauliflower,crate,39,2333.00,7/1/2013 
Horticulture,Lettuce,Bag,51,3246.00,7/1/2013 
Horticulture,Passion Fruits,Bag,57,3740.00,7/1/2013 
Horticulture,Oranges,Bag,93,2718.00,7/1/2013 
Horticulture,Lemons,Bag,95,2023.00,7/1/2013 
