Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Ripe Bananas,Med Bunch,14,609.0,1/1/2013 ,297
Horticulture,Cooking Bananas,Med Bunch,22,586.0,1/1/2013 ,298
Horticulture,Cooking Bananas,Med Bunch,22,629.0,2/1/2013 ,299
Horticulture,Kales,Bag,50,804.0,2/1/2013 ,300
Horticulture,Avocado,Bag,90,2394.0,2/1/2013 ,301
Horticulture,Pawpaw,Lg Box,54,1472.0,2/1/2013 ,302
Horticulture,Pineapples,Dozen,13,750.0,2/1/2013 ,303
Horticulture,Limes,net,13,710.0,2/1/2013 ,304
Horticulture,Mangoes Ngowe,Sm Basket,25,927.0,2/1/2013 ,305
Horticulture,Mangoes Local,Bag,126,1957.0,2/1/2013 ,306
Horticulture,Lemons,Bag,95,2051.0,2/1/2013 ,307
Horticulture,Oranges,Bag,93,3230.0,2/1/2013 ,308
Horticulture,Passion Fruits,Bag,57,2955.0,2/1/2013 ,309
Horticulture,Lettuce,Bag,51,3476.0,2/1/2013 ,310
Horticulture,Cauliflower,crate,39,2483.0,2/1/2013 ,311
Horticulture,Brinjals,Bag,44,1836.0,2/1/2013 ,312
Horticulture,Capsicums,Bag,50,2517.0,2/1/2013 ,313
Horticulture,Cucumber,Bag,50,2251.0,2/1/2013 ,314
Horticulture,Chillies,Bag,38,2989.0,2/1/2013 ,315
Horticulture,Spring Onions,Bag,142,2254.0,2/1/2013 ,316
Horticulture,Onions Dry,net,13,792.0,2/1/2013 ,317
Horticulture,Tomatoes,Lg Box,64,2969.0,2/1/2013 ,318
Horticulture,Carrots,Ext Bag,138,2669.0,2/1/2013 ,319
Horticulture,Ripe Bananas,Med Bunch,14,708.0,2/1/2013 ,320
Horticulture,Cabbages,Ext Bag,126,1798.0,2/1/2013 ,321
Horticulture,Cabbages,Ext Bag,126,1667.0,3/1/2013 ,322
Horticulture,Cooking Bananas,Med Bunch,22,539.0,3/1/2013 ,323
Horticulture,Ripe Bananas,Med Bunch,14,607.0,3/1/2013 ,324
Horticulture,Carrots,Ext Bag,138,2969.0,3/1/2013 ,325
Horticulture,Tomatoes,Lg Box,64,3669.0,3/1/2013 ,326
Horticulture,Onions Dry,net,13,883.0,3/1/2013 ,327
